train_clean,train_naive,train_robust,test_clean,test_naive,test_robust,p,condition
100.0,50.15625,79.6875,74.00346620450607,39.51473136915078,54.939341421143844,0,degree
100.0,50.15625,79.6875,74.00346620450607,39.51473136915078,54.939341421143844,1,degree
100.0,50.15625,79.6875,74.00346620450607,39.51473136915078,54.939341421143844,2,degree
100.0,50.15625,79.6875,74.00346620450607,39.51473136915078,54.939341421143844,5,degree
100.0,50.15625,79.6875,74.00346620450607,39.51473136915078,54.939341421143844,10,degree
100.0,50.15625,79.6875,74.00346620450607,39.51473136915078,54.939341421143844,20,degree
100.0,50.15625,79.6875,74.00346620450607,39.51473136915078,54.939341421143844,30,degree
100.0,50.15625,79.6875,74.00346620450607,39.51473136915078,54.939341421143844,40,degree
100.0,50.625,80.78125,74.35008665511265,39.168110918544194,56.84575389948007,50,degree
100.0,50.3125,80.9375,73.83015597920277,38.82149046793761,58.578856152513,60,degree
100.0,50.625,83.125,76.25649913344887,39.341421143847484,62.91161178509532,70,degree
100.0,51.25,89.0625,78.33622183708839,39.68804159445407,62.39168110918544,80,degree
99.84375,52.03125,87.34375,80.58925476603119,42.46100519930676,65.68457538994801,90,degree
99.84375,64.375,94.6875,87.52166377816292,52.33968804159446,79.37608318890814,100,degree
100.0,50.15625,79.6875,74.00346620450607,39.51473136915078,54.939341421143844,0,random
100.0,50.15625,79.53125,73.65684575389947,39.51473136915078,56.84575389948007,1,random
100.0,50.3125,79.0625,73.65684575389947,39.168110918544194,57.53899480069324,2,random
100.0,49.53125,82.5,75.5632582322357,38.47487001733102,57.36568457538995,5,random
100.0,54.0625,88.90625,77.81629116117851,45.58058925476603,62.39168110918544,10,random
99.84375,55.15625,88.90625,78.85615251299826,47.66031195840554,69.15077989601386,20,random
100.0,56.09375,90.78125,80.24263431542461,47.487001733102254,68.2842287694974,30,random
99.84375,58.75,89.53125,82.32235701906413,49.74003466204506,70.7105719237435,40,random
100.0,60.0,90.3125,82.14904679376083,49.91334488734835,68.80415944540728,50,random
99.84375,63.4375,92.96875,82.66897746967071,50.25996533795494,73.48353552859619,60,random
100.0,62.1875,90.3125,85.6152512998267,50.606585788561524,72.09705372616985,70,random
100.0,61.875,92.96875,84.92201039861352,52.68630849220104,75.38994800693241,80,random
99.84375,62.8125,92.8125,87.17504332755632,51.2998266897747,78.16291161178509,90,random
99.84375,64.375,94.6875,87.52166377816292,52.33968804159446,79.37608318890814,100,random
100.0,50.15625,79.6875,74.00346620450607,39.51473136915078,54.939341421143844,0,im
100.0,50.3125,82.8125,73.83015597920277,39.51473136915078,57.885615251299825,1,im
100.0,50.0,86.5625,75.21663778162912,39.341421143847484,60.658578856152516,2,im
100.0,50.0,86.5625,74.69670710571924,39.168110918544194,59.79202772963605,5,im
100.0,50.15625,88.28125,75.38994800693241,39.168110918544194,61.52512998266898,10,im
100.0,49.84375,87.8125,76.08318890814559,38.82149046793761,63.4315424610052,20,im
100.0,51.875,86.09375,76.08318890814559,39.86135181975737,59.79202772963605,30,im
100.0,53.59375,87.8125,78.68284228769497,42.114384748700175,67.07105719237435,40,im
100.0,52.03125,89.21875,80.93587521663778,42.80762564991335,68.1109185441941,50,im
99.84375,52.03125,89.84375,82.32235701906413,44.36741767764298,70.36395147313692,60,im
99.84375,52.03125,85.15625,83.18890814558058,43.327556325823224,67.07105719237435,70,im
99.84375,54.375,87.34375,82.14904679376083,44.36741767764298,69.67071057192375,80,im
99.84375,56.5625,93.125,83.18890814558058,43.327556325823224,73.1369150779896,90,im
99.84375,64.375,94.6875,87.52166377816292,52.33968804159446,79.37608318890814,100,im
