train_clean,train_naive,train_robust,test_clean,test_naive,test_robust,p,condition
84.015,75.155,84.015,84.225,74.895,84.225,0,degree
83.885,74.965,83.845,84.0,74.72,83.97,1,degree
83.66,74.63,83.55,83.815,74.415,83.65,2,degree
82.97,73.6,82.58,83.17,73.115,82.75,5,degree
81.9,69.81,81.155,82.32,69.385,81.195,10,degree
80.655,65.555,79.33,80.985,65.345,79.38,20,degree
80.73,61.605,79.175,80.73,61.93,78.915,30,degree
81.8,59.23,80.21,81.73,59.04,79.995,40,degree
84.275,56.64,83.26,82.48,58.22,80.8,50,degree
84.835,56.25,84.285,84.515,56.225,83.695,60,degree
85.84,56.115,85.755,85.855,56.0,85.045,70,degree
86.745,55.61,87.085,87.045,55.78,87.055,80,degree
87.41,55.25,88.135,87.72,55.395,88.275,90,degree
87.965,55.62,89.39,88.295,56.16,89.635,100,degree
84.015,75.155,84.015,84.225,74.895,84.225,0,random
83.435,71.505,83.32,83.37,71.47,83.245,1,random
82.905,73.635,82.635,82.82,73.135,82.405,2,random
81.725,68.42,81.05,81.73,68.565,80.92,5,random
80.56,67.165,79.365,80.965,66.9,79.595,10,random
80.595,60.65,79.135,80.845,60.535,78.825,20,random
82.13,59.035,80.5,81.9,59.065,80.095,30,random
83.835,58.03,82.755,83.625,58.315,82.52,40,random
85.095,57.37,84.555,84.975,57.795,84.66,50,random
86.03,56.73,86.1,86.025,57.385,85.99,60,random
87.035,55.685,87.51,86.86,56.105,87.335,70,random
87.355,55.2,87.855,87.43,55.91,88.16,80,random
87.8,55.11,88.74,87.975,55.57,88.93,90,random
87.965,55.62,89.39,88.295,56.16,89.635,100,random
84.015,75.155,84.015,84.225,74.895,84.225,0,im
84.015,75.155,84.015,83.39,72.42,82.765,1,im
84.015,75.155,84.015,82.4,70.075,81.325,2,im
84.015,75.155,84.015,79.61,64.67,77.67,5,im
84.015,75.155,84.015,76.585,58.43,72.71,10,im
84.015,75.155,84.015,74.49,53.065,68.495,20,im
84.015,75.155,84.015,81.94,54.47,74.66,30,im
84.015,75.155,84.015,86.96,55.875,82.455,40,im
82.35,73.495,81.64,86.48,58.975,88.695,50,im
79.165,61.665,77.695,82.08,63.955,79.76,60,im
80.485,58.365,78.945,79.12,67.25,73.265,70,im
84.485,57.495,84.325,85.73,60.16,81.875,80,im
87.105,56.23,88.015,87.91,56.975,89.175,90,im
87.965,55.62,89.39,88.295,56.16,89.635,100,im
