portion_remaining,condition,benchmark_acc,naive_acc,robust_acc,naive_pct_moved,naive_pct_crossed,robust_pct_moved,robust_pct_crossed
0,im,74.00346620450607,39.51473136915078,54.939341421143844,55.723780393600464,55.72378138847858,46.7503696680069,46.75036927621861
10,im,75.38994800693241,39.168110918544194,61.52512998266898,54.83751893043518,54.83751846381093,46.935006976127625,46.93500738552437
20,im,76.08318890814559,38.82149046793761,63.4315424610052,55.723780393600464,55.72378138847858,45.34711837768555,45.347119645494836
30,im,76.08318890814559,39.86135181975737,59.79202772963605,55.57606816291809,55.57607090103397,45.864105224609375,45.86410635155096
40,im,78.68284228769497,42.114384748700175,67.07105719237435,53.69276404380798,53.69276218611522,44.09157931804657,44.091580502215656
50,im,80.93587521663778,42.80762564991335,68.1109185441941,53.39733958244324,53.397341211226,41.50664806365967,41.506646971935005
60,im,82.32235701906413,44.36741767764298,70.36395147313692,52.10487246513367,52.10487444608567,40.98966121673584,40.98966026587888
70,im,83.18890814558058,43.327556325823224,67.07105719237435,52.32644081115723,52.326440177252586,37.924668192863464,37.92466765140325
80,im,82.14904679376083,44.36741767764298,69.67071057192375,50.11078119277954,50.11078286558346,39.217135310173035,39.21713441654357
90,im,83.18890814558058,43.327556325823224,73.1369150779896,48.04283678531647,48.04283604135894,34.01033878326416,34.01033973412112
100,im,87.52166377816292,52.33968804159446,79.37608318890814,38.367798924446106,38.36779911373708,28.54505181312561,28.545051698670605
