portion_remaining,condition,benchmark_acc,naive_acc,robust_acc,naive_pct_moved,naive_pct_crossed,robust_pct_moved,robust_pct_crossed
0,im,84.225,83.91,84.225,5.934999883174896,5.935,6.055000051856041,6.055
10,im,73.64,71.56,75.465,5.0074998289346695,5.0075,5.229999870061874,5.2299999999999995
20,im,65.9,63.825,70.51,4.284999892115593,4.285,4.729999974370003,4.73
30,im,72.12,70.385,76.59,4.32250015437603,4.3225,4.6025000512599945,4.6025
40,im,80.56,79.91,79.63,4.292500019073486,4.2924999999999995,4.295000061392784,4.295
50,im,79.745,80.75,77.13,3.945000097155571,3.945,3.982499986886978,3.9825
60,im,66.01,67.4,62.9,2.9600000008940697,2.96,3.1599998474121094,3.16
70,im,61.38,62.9,60.66,2.7574999257922173,2.7575,2.5350000709295273,2.535
80,im,73.2,74.7,72.395,2.6374999433755875,2.6374999999999997,2.422500029206276,2.4225
90,im,82.525,82.82,82.29,2.43500005453825,2.435,2.370000071823597,2.37
100,im,84.685,84.52,84.63,2.1299999207258224,2.13,2.1124999970197678,2.1125000000000003
