portion_remaining,condition,benchmark_acc,naive_acc,robust_acc,naive_pct_moved,naive_pct_crossed,robust_pct_moved,robust_pct_crossed
0,degree,84.225,83.91,84.225,5.934999883174896,5.935,6.055000051856041,6.055
0,random,84.225,83.91,84.225,5.934999883174896,5.935,6.055000051856041,6.055
10,degree,81.02,80.72,80.925,5.299999937415123,5.3,5.429999902844429,5.43
10,random,78.46,78.235,78.52,4.830000177025795,4.83,4.89250011742115,4.8925
20,degree,78.42,77.525,78.42,4.7074999660253525,4.7075,4.622500017285347,4.6225000000000005
20,random,76.81,76.825,76.805,4.075000062584877,4.075,4.1200000792741776,4.12
30,degree,76.535,75.985,76.515,4.205000028014183,4.205,4.145000129938126,4.1450000000000005
30,random,76.295,76.12,76.165,3.6899998784065247,3.6900000000000004,3.632500022649765,3.6325000000000003
40,degree,76.005,75.43,76.19,3.620000183582306,3.62,3.682500123977661,3.6824999999999997
40,random,77.165,77.18,77.075,3.4049998968839645,3.405,3.3025000244379044,3.3024999999999998
50,degree,76.205,75.765,76.095,3.400000184774399,3.4000000000000004,3.502500057220459,3.5025
50,random,77.465,77.515,77.46,3.087499924004078,3.0875,2.9374999925494194,2.9375
60,degree,77.195,76.72,77.06,3.044999949634075,3.045,3.0649999156594276,3.065
60,random,78.62,78.32,78.64,2.8175000101327896,2.8175,2.707500010728836,2.7075
70,degree,78.155,77.725,78.14,2.9600000008940697,2.96,2.914999984204769,2.915
70,random,80.08,79.995,79.995,2.6525000110268593,2.6525,2.6525000110268593,2.6525
80,degree,79.61,79.43,79.43,2.630000002682209,2.63,2.630000002682209,2.63
80,random,81.57,81.42,81.42,2.4800000712275505,2.48,2.4800000712275505,2.48
90,degree,81.55,81.435,81.435,2.4550000205636024,2.455,2.4550000205636024,2.455
90,random,83.055,82.88,82.8,2.2749999538064003,2.275,2.307499945163727,2.3074999999999997
100,degree,84.685,84.52,84.63,2.1299999207258224,2.13,2.1124999970197678,2.1125000000000003
100,random,84.685,84.52,84.63,2.1299999207258224,2.13,2.1124999970197678,2.1125000000000003
0,im,84.225,83.91,84.225,5.934999883174896,5.935,6.055000051856041,6.055
10,im,73.64,71.56,75.465,5.0074998289346695,5.0075,5.229999870061874,5.2299999999999995
20,im,65.9,63.825,70.51,4.284999892115593,4.285,4.729999974370003,4.73
30,im,72.12,70.385,76.59,4.32250015437603,4.3225,4.6025000512599945,4.6025
40,im,80.56,79.91,79.63,4.292500019073486,4.2924999999999995,4.295000061392784,4.295
50,im,79.745,80.75,77.13,3.945000097155571,3.945,3.982499986886978,3.9825
60,im,66.01,67.4,62.9,2.9600000008940697,2.96,3.1599998474121094,3.16
70,im,61.38,62.9,60.66,2.7574999257922173,2.7575,2.5350000709295273,2.535
80,im,73.2,74.7,72.395,2.6374999433755875,2.6374999999999997,2.422500029206276,2.4225
90,im,82.525,82.82,82.29,2.43500005453825,2.435,2.370000071823597,2.37
100,im,84.685,84.52,84.63,2.1299999207258224,2.13,2.1124999970197678,2.1125000000000003
